currencies,Buy,Sell,Scrape_time
US Dollar,48.0746,48.1746,2025-09-27
Euro,56.4492,56.5714,2025-09-27
Pound Sterling,64.5786,64.7225,2025-09-27
Swiss Franc,60.3876,60.5436,2025-09-27
Japanese Yen 100,32.293,32.3623,2025-09-27
Saudi Riyal,12.8175,12.8448,2025-09-27
Kuwaiti Dinar,157.3739,157.7529,2025-09-27
UAE Dirham,13.0879,13.1166,2025-09-27
Chinese yuan,6.7477,6.7631,2025-09-27
US Dollar,48.0746,48.1746,2025-09-28
Euro,56.4492,56.5714,2025-09-28
Pound Sterling,64.5786,64.7225,2025-09-28
Swiss Franc,60.3876,60.5436,2025-09-28
Japanese Yen 100,32.293,32.3623,2025-09-28
Saudi Riyal,12.8175,12.8448,2025-09-28
Kuwaiti Dinar,157.3739,157.7529,2025-09-28
UAE Dirham,13.0879,13.1166,2025-09-28
Chinese yuan,6.7477,6.7631,2025-09-28
US Dollar,48.1026,48.2026,2025-09-29
Euro,56.2849,56.4116,2025-09-29
Pound Sterling,64.4575,64.6349,2025-09-29
Swiss Franc,60.2715,60.4422,2025-09-29
Japanese Yen 100,32.1714,32.2447,2025-09-29
Saudi Riyal,12.8253,12.8527,2025-09-29
Kuwaiti Dinar,157.6361,158.0156,2025-09-29
UAE Dirham,13.0966,13.1257,2025-09-29
Chinese yuan,6.7421,6.7579,2025-09-29
US Dollar,48.0068,48.0774,2025-09-30
Euro,56.2783,56.3707,2025-09-30
Pound Sterling,64.4971,64.6112,2025-09-30
Swiss Franc,60.2873,60.4063,2025-09-30
Japanese Yen 100,32.3169,32.3731,2025-09-30
Saudi Riyal,12.7998,12.8193,2025-09-30
Kuwaiti Dinar,157.3734,157.6565,2025-09-30
UAE Dirham,13.0688,13.0908,2025-09-30
Chinese yuan,6.7436,6.7544,2025-09-30
